ALTER TABLE
UPDATE 529
 source | target | edge |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          the_geom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
    166 |    167 |  275 | 0102000020E6100000020000004D88145E5D35524007D7378B721A334016139B8F6B35524055E70764651A3340
    167 |    168 |  277 | 0102000020E61000000200000016139B8F6B35524055E70764651A3340ABD84E4A773552401950148D5A1A3340
    168 |    169 |  279 | 0102000020E610000002000000ABD84E4A773552401950148D5A1A334099A14CFE82355240D8E77B574E1A3340
    169 |    156 |  255 | 0102000020E61000000200000099A14CFE82355240D8E77B574E1A3340BA79F4D0883552405F6EE646471A3340
    156 |    170 |  281 | 0102000020E610000002000000BA79F4D0883552405F6EE646471A3340346CEFAE8E35524009CB338A401A3340
    170 |    155 |  254 | 0102000020E610000002000000346CEFAE8E35524009CB338A401A3340E13F82878E355240E807BF1E5D1A3340
     11 |    170 |  282 | 0102000020E61000000200000064C279828E3552402FB9F6AA3A1A3340346CEFAE8E35524009CB338A401A3340
    359 |     11 |   18 | 0102000020E6100000020000009EBDE94C903552404EF27E37381A334064C279828E3552402FB9F6AA3A1A3340
    160 |    359 |  533 | 0102000020E6100000030000009EEBFB7090355240CF48298D3D1A3340F8D73C5890355240E868554B3A1A33409EBDE94C903552404EF27E37381A3340
    160 |    154 |  252 | 0102000020E6100000020000009EEBFB7090355240CF48298D3D1A3340EF8FF7AA953552403375B22F341A3340
    154 |    212 |  340 | 0102000020E610000002000000EF8FF7AA953552403375B22F341A33408A181B5FA035524090EFF730201A3340
    212 |    216 |  343 | 0102000020E6100000050000008A181B5FA035524090EFF730201A33401422E010AA35524039B35DA10F1A3340152EF53DB4355240DD71D41BFF1933405481A499B8355240DB00C7F9F619334053927538BA35524072D24554F2193340
    153 |    160 |  262 | 0102000020E6100000020000003982AF4390355240D25B97755A1A33409EEBFB7090355240CF48298D3D1A3340
      7 |    359 |  534 | 0102000020E610000002000000BC58BD68B435524033E43334F91933409EBDE94C903552404EF27E37381A3340
    271 |    236 |  364 | 0102000020E6100000070000000B79A97D5F35524056815A0C1E1A3340294D39155F3552400921D6D1271A3340F9F94A7B5E35524086877A0B351A33402F27B2205E35524043DDAC66421A334000789F3E5D355240BBEEAD484C1A33403677F4BF5C3552404780892E5E1A3340711C78B55C355240FE405EB46C1A3340
    271 |    232 |  361 | 0102000020E6100000120000000B79A97D5F35524056815A0C1E1A3340516452E861355240A2A2A0CA1F1A33409763682B65355240A2A2A0CA1F1A3340EE409DF268355240D9BB9A971E1A334046F35BCF6B355240AA0F24EF1C1A3340D3A1D3F36E3552402E56D4601A1A3340D1C0D9F7723552402A49E878161A3340DB1434D277355240A31529DE121A3340FC20263C7C35524075898FF40E1A334094CD0B668235524074BC5D8A061A3340CDC243BD8535524036898BEDFF1933404A68267387355240FB62A538FD1933407254C95B89355240795CAF44FB193340B853DF9E8C35524044639236FA1933406DE8C13893355240091DCFC2F919334091685DFE9E355240091DCFC2F919334077A45588A2355240CED60B4FF91933403BF9991FA43552403F36C98FF8193340
    233 |    271 |  415 | 0102000020E610000007000000FC89CA86353552405F2926CA391A3340BA6CCF8742355240CFBBB1A0301A334057186C344A3552405C8FC2F5281A334013B875374F3552402269DC40261A33401A2BD615583552409B351DA6221A334094EFBECF5D355240E4350AA41F1A33400B79A97D5F35524056815A0C1E1A3340
    358 |    233 |  362 | 0102000020E61000000E000000FFDF2241823552408703D7CBA5193340FA08A12875355240EA9CFA9BAB193340424B0D23733552405F09A4C4AE1933407E97080A7235524086B82869B4193340E4A7CC2871355240B1A8E38CBC193340AB8ABA206C355240A766C526E819334082E096346B3552406A28FFA4EB19334011E6D1E869355240451ED2B9EC1933406EC4EE963F3552401A547655FB1933408E76DCF03B3552405FAC14A7FF19334089601C5C3A3552402D1098E2051A334009F368F4343552402FEFBB33241A3340CDF1C0B634355240D2D3916D2A1A3340FC89CA86353552405F2926CA391A3340
    233 |    365 |  541 | 0102000020E610000028000000FC89CA86353552405F2926CA391A33404ED8D9EB3835524060617770661A33405BE443F5FB345240C68F8C30A01A33406E3BC846FB345240017A2B5CA01A33403EA3BE76FA3452405698631E9E1A3340A499DD49FA345240BD55D7A19A1A33409758198DFC345240F8A57EDE541A3340606D31E4FD345240E2F95635521A334030702F1FFF345240901150E1081A33408CBCAC8905355240311D84CA091A3340D0C3BFBE0C355240AC472B082F1933403BA8C4750C355240F55B85DE2C193340DCB930D20B355240E424DE4B2B193340E2170390FF345240C2A2224E271933404A7F8A3EFA3452405E47C1F80E193340C8BA1347F93452402A5A14D10A19334046836FF5F7345240AE580DD3081933405680EF36EF345240D0BDE20401193340C86C7F1DEE3452407265F5B3FD1833401538D906EE345240450DA661F81833409D853DEDF0345240A45016BEBE183340DE5A26C3F13452400038F6ECB918334007787709F33452405422E417B918334011D8E61002355240EAA8B40FC31833402E196C8F03355240BBFC3D67C1183340639F5B4304355240F83A04E9BD1833400F812381063552400D3C52D8A0183340F04DD36707355240D285FD439F183340072E45A80835524061264003A0183340385F364B13355240D6AFCFF7AE183340D7F10467153552400F6A1A6F861833409BA50980163552401878EE3D5C1833402AB9799917355240999D45EF5418334087B542A21A355240F648DE944D183340192F27B2203552404C2BCFCD48183340F5DFDE9021355240CC780030431833406BC5ED8623355240C3A04CA3C917334047318A2F243552407ED81C31C417334022C89CC22535524061DF4E22C2173340CE797C314A3552400BE6F91DD4173340
    100 |    117 |  190 | 0102000020E6100000030000003A90F5D4EA345240BC7FE2B66C1B334081391F43EC3452406C0E6B85441B3340DAC69FA8EC345240B39D4A61391B3340
    117 |    116 |  189 | 0102000020E610000002000000DAC69FA8EC345240B39D4A61391B3340EB426271EE3452407EFC4A8C0A1B3340
    116 |    161 |  264 | 0102000020E610000005000000EB426271EE3452407EFC4A8C0A1B334091C6B2AAEF345240B95BEDBCE81A3340148EC5DBEF3452408C039E6AE31A3340E5AD049CEF3452404E18833DDC1A334044FEF4FAEE345240D9DF23ACD71A3340
    185 |    161 |  263 | 0102000020E6100000040000004EAB329DE7345240A12A4B19DD1A334047E5266AE93452407102D369DD1A334098028871ED3452403D152642D91A334044FEF4FAEE345240D9DF23ACD71A3340
    241 |    185 |  307 | 0102000020E610000002000000258B451DE7345240332B2515D71A33404EAB329DE7345240A12A4B19DD1A3340
    241 |    187 |  310 | 0102000020E610000003000000258B451DE7345240332B2515D71A3340AE015B6FE5345240FDE95097D61A3340E5DD4724C034524044D554BBCB1A3340
    240 |    241 |  372 | 0102000020E61000000300000011B8BFC4E9345240AF8339306F1A33404E0AF31EE734524071D17FC5D01A3340258B451DE7345240332B2515D71A3340
    240 |    188 |  311 | 0102000020E61000000200000011B8BFC4E9345240AF8339306F1A3340750069A4CA345240A5202EEF601A3340
    239 |    240 |  371 | 0102000020E610000002000000BD29F6E1EA345240DFB023C44B1A334011B8BFC4E9345240AF8339306F1A3340
    308 |    239 |  369 | 0102000020E610000002000000A5541DCDEC345240792C6CBC2A1A3340BD29F6E1EA345240DFB023C44B1A3340
    310 |    308 |  465 | 0102000020E61000000200000094F2FF4FEA345240D9B0A6B2281A3340A5541DCDEC345240792C6CBC2A1A3340
    307 |    308 |  466 | 0102000020E61000000200000074852D2CEE3452407AB6589B101A3340A5541DCDEC345240792C6CBC2A1A3340
    307 |    309 |  467 | 0102000020E61000000200000074852D2CEE3452407AB6589B101A334052E630A9EB345240A56950340F1A3340
    234 |    239 |  370 | 0102000020E610000004000000EE1A3E33D2345240FFECA2433B1A3340E699F27CE13452408498F0F0431A334067F6D445E5345240D085EC17471A3340BD29F6E1EA345240DFB023C44B1A3340
